Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
oli045_2,01-Dec-2020,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,-1,1796,0.926267281105991,0.909090909090909,1,0.833333333333333,1,0.909090909090909,0.909090909090909,0.909090909090909,0.714285714285714,1,1,1,0.909090909090909,1,0.909090909090909,1,1,1,0.909090909090909,0.909090909090909,0.833333333333333
oli046_2,02-Dec-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,0,1797,0.986547085201794,0.846153846153846,1,1,1,1,1,1,0.916666666666667,1,1,1,1,1,1,1,1,1,1,1,1
oli047_2,03-Dec-2020,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,1,1798,0.952879581151832,0.9,1,0.9,1,1,1,1,1,1,0.9,0.9,1,1,0.818181818181818,1,1,0.9,1,0.9,0.9
oli048_2,20-Apr-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,139,1936,0.883977900552486,0.571428571428571,0.888888888888889,0.727272727272727,1,0.888888888888889,1,1,1,0.8,1,1,0.8,1,1,1,0.8,1,0.8,0.8,1
oli049_2,21-Apr-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,140,1937,0.902439024390244,0.909090909090909,1,1,1,0.9,0.75,0.818181818181818,0.833333333333333,1,1,1,1,1,1,1,0.9,0.818181818181818,0.5625,0.9,1
oli050_2,23-Apr-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,142,1939,0.835897435897436,0.8,0.888888888888889,1,0.888888888888889,1,1,0.888888888888889,1,0.8,0.888888888888889,1,1,0.888888888888889,0.888888888888889,0.9,0.5,0.727272727272727,0.8,0.533333333333333,0.888888888888889
oli051_2,27-Apr-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,146,1943,0.805882352941176,0.7,0.636363636363636,0.875,1,0.7,1,0.7,0.875,1,0.875,1,1,0.875,1,1,0.666666666666667,0.777777777777778,0.636363636363636,0.7,0.6
oli052_2,28-Apr-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,147,1944,0.696517412935323,0.777777777777778,0.538461538461538,0.466666666666667,0.4375,0.875,0.875,0.875,0.636363636363636,0.777777777777778,0.636363636363636,0.875,0.777777777777778,0.777777777777778,1,0.875,0.583333333333333,1,0.583333333333333,0.777777777777778,0.583333333333333
oli053_2,29-Apr-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,148,1945,0.830601092896175,0.7,0.8,1,1,1,1,0.8,0.777777777777778,1,0.7,1,1,1,1,0.888888888888889,0.5,0.888888888888889,0.583333333333333,0.7,0.777777777777778
oli054_2,30-Apr-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,149,1946,0.895604395604396,0.888888888888889,0.727272727272727,1,0.8,1,0.888888888888889,1,1,0.8,1,1,0.727272727272727,0.8,1,0.888888888888889,1,1,0.9,0.888888888888889,0.8
oli055_2,04-May-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,153,1950,0.786206896551724,0.6,0.833333333333333,0.833333333333333,1,1,1,1,1,1,1,0.857142857142857,0.75,0.545454545454545,0.857142857142857,0.857142857142857,0.6,0.857142857142857,0.454545454545455,0.75,0.714285714285714
oli056_2,05-May-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,154,1951,0.927835051546392,0.9,1,1,0.75,0.9,0.9,0.818181818181818,1,0.9,1,1,0.9,1,0.9,1,1,1,1,0.9,0.818181818181818
oli057_2,06-May-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,155,1952,0.905,0.9,1,0.9,0.818181818181818,0.9,0.769230769230769,1,0.9,0.9,0.75,1,1,0.9,1,1,0.9,1,0.9,0.75,1
oli058_2,07-May-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,156,1953,0.935672514619883,0.727272727272727,1,1,1,0.888888888888889,0.888888888888889,0.8,1,0.8,1,1,1,1,1,1,1,1,1,0.888888888888889,0.888888888888889
oli059_2,11-May-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,160,1957,0.829493087557604,1,1,0.818181818181818,1,1,0.75,0.818181818181818,0.6,0.642857142857143,0.75,0.692307692307692,0.9,1,1,0.9,0.9,0.75,0.818181818181818,0.818181818181818,0.818181818181818
oli060_2,12-May-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,161,1958,0.875,0.727272727272727,0.727272727272727,0.8,1,0.818181818181818,0.8,0.8,1,1,0.8,0.727272727272727,1,1,1,0.888888888888889,0.888888888888889,0.8,1,1,1
oli061_2,13-May-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,162,1959,0.953051643192488,0.909090909090909,1,0.909090909090909,0.846153846153846,1,1,0.833333333333333,0.909090909090909,1,1,1,1,1,1,0.909090909090909,1,1,1,0.909090909090909,0.909090909090909
oli062_2,14-May-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,163,1960,0.967914438502674,1,1,1,1,0.9,0.9,1,0.9,1,1,1,1,1,1,1,1,1,0.818181818181818,0.9,1
oli063_2,18-May-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,167,1964,0.840336134453782,1,0.833333333333333,0.833333333333333,0.625,0.714285714285714,0.714285714285714,1,0.833333333333333,0.833333333333333,0.833333333333333,1,0.555555555555556,1,0.833333333333333,1,1,1,0.833333333333333,1,0.833333333333333
oli064_2,19-May-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,168,1965,0.848,1,1,0.714285714285714,0.833333333333333,1,1,0.714285714285714,1,0.833333333333333,0.857142857142857,1,0.625,1,1,1,0.6,0.714285714285714,0.666666666666667,1,1
oli065_2,20-May-2021,OLI,ODRdistractor_diagonal,01-Jan-2016,02-Dec-2020,169,1966,0.952755905511811,1,1,0.857142857142857,1,1,1,1,1,0.857142857142857,1,0.857142857142857,1,1,0.857142857142857,1,1,0.857142857142857,1,0.857142857142857,1
oli066_2,21-May-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,170,1967,0.989690721649485,1,1,1,1,0.833333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
oli067_2,28-Sep-2021,OLI,ODRdistractor_cardinal,01-Jan-2016,02-Dec-2020,300,2097,0.724489795918367,0.538461538461538,0.5,0.875,0.875,0.875,0.8,0.875,0.875,1,0.777777777777778,0.777777777777778,0.7,0.875,0.636363636363636,1,0.583333333333333,0.466666666666667,1,0.583333333333333,0.7
