Filename,Date,Monkey,Task,dob,date_mature,Day_to_maturation,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,age_group4,mature_group4,month_to_maturation,age_month
oli047_1,03-Dec-2020,OLI,ODR3,01-Jan-2016,02-Dec-2020,1,1798,0.984615384615385,1,1,1,1,1,0.888888888888889,1,1,OLI,3,3,0.0328767123287671,59.1123287671233
oli048_1,20-Apr-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,139,1936,0.841463414634146,1,0.888888888888889,0.9,0.9,0.9,0.571428571428571,0.9,0.8,OLI,4,3,4.56986301369863,63.6493150684932
oli049_1,21-Apr-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,140,1937,0.96969696969697,1,1,1,1,1,1,0.888888888888889,0.888888888888889,OLI,4,3,4.6027397260274,63.6821917808219
oli050_1,23-Apr-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,142,1939,0.831168831168831,1,1,1,0.8,1,0.615384615384615,0.615384615384615,0.888888888888889,OLI,4,3,4.66849315068493,63.7479452054795
oli051_1,27-Apr-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,146,1943,0.888888888888889,1,0.875,1,0.875,1,0.875,0.636363636363636,1,OLI,4,3,4.8,63.8794520547945
oli052_1,28-Apr-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,147,1944,0.984615384615385,1,1,0.888888888888889,1,1,1,1,1,OLI,4,3,4.83287671232877,63.9123287671233
oli053_1,29-Apr-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,148,1945,1,1,1,1,1,1,1,1,1,OLI,4,3,4.86575342465753,63.9452054794521
oli054_1,30-Apr-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,149,1946,0.970149253731343,1,1,1,1,1,1,0.8,1,OLI,4,3,4.8986301369863,63.9780821917808
oli055_1,04-May-2021,OLI,ODR,01-Jan-2016,02-Dec-2020,153,1950,0.901408450704225,1,1,0.8,0.888888888888889,0.8,0.888888888888889,0.888888888888889,1,OLI,4,4,5.03013698630137,64.1095890410959
oli056_1,05-May-2021,OLI,ODR3,01-Jan-2016,02-Dec-2020,154,1951,0.914285714285714,1,0.888888888888889,0.727272727272727,0.888888888888889,1,0.888888888888889,1,1,OLI,4,4,5.06301369863014,64.1424657534247
