ID,Task,mature,age,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,percorr_class_9,percorr_class_10,percorr_class_11,percorr_class_12,percorr_class_13,percorr_class_14,percorr_class_15,percorr_class_16,percorr_class_17,percorr_class_18,percorr_class_19,percorr_class_20
OLI,ODRdistractor_diagonal,5.6,65.5,0.848,1,1,0.714285714,0.833333333,1,1,0.714285714,1,0.833333333,0.857142857,1,0.625,1,1,1,0.6,0.714285714,0.666666667,1,1
OLI,ODRdistractor_diagonal,5.633333333,65.53333333,0.952755906,1,1,0.857142857,1,1,1,1,1,0.857142857,1,0.857142857,1,1,0.857142857,1,1,0.857142857,1,0.857142857,1
OLI,ODRdistractor_cardinal,5.666666667,65.56666667,0.989690722,1,1,1,1,0.833333333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
OLI,ODRdistractor_cardinal,10,69.9,0.724489796,0.538461538,0.5,0.875,0.875,0.875,0.8,0.875,0.875,1,0.777777778,0.777777778,0.7,0.875,0.636363636,1,0.583333333,0.466666667,1,0.583333333,0.7
OLI,ODRdistractor_cardinal,10.03333333,69.93333333,0.808641975,1,0.75,1,0.875,1,1,1,0.777777778,0.777777778,1,0.875,0.875,0.875,0.7,0.857142857,0.666666667,0.428571429,0.75,0.75,0.75
OLI,ODRdistractor_diagonal,10.23333333,70.13333333,0.718592965,0.875,0.777777778,0.636363636,0.777777778,1,1,1,1,1,1,0.777777778,0.875,0.875,0.8,0.777777778,0.318181818,0.636363636,0.4375,0.5,0.636363636
OLI,ODRdistractor_cardinal,10.26666667,70.16666667,0.825641026,0.571428571,0.666666667,0.727272727,0.615384615,1,0.727272727,0.75,0.888888889,0.888888889,0.727272727,1,0.888888889,1,0.888888889,1,1,1,1,0.727272727,1
OLI,ODRdistractor_diagonal,10.3,70.2,0.888888889,0.666666667,0.888888889,0.727272727,0.888888889,0.888888889,1,1,0.888888889,0.8,0.727272727,1,0.8,1,1,1,1,1,0.888888889,0.888888889,1
OLI,ODRdistractor_diagonal,10.46666667,70.36666667,0.538461538,0.216216216,0.222222222,0.275862069,0.25,0.296296296,1,0.8,0.642857143,0.666666667,0.727272727,0.888888889,1,1,1,1,1,1,0.888888889,1,0.888888889
OLI,ODRdistractor_cardinal,10.5,70.4,0.858369099,0.833333333,1,1,1,1,0.833333333,0.769230769,0.625,0.666666667,0.476190476,1,1,1,0.909090909,0.909090909,1,0.909090909,1,0.909090909,1
OLI,ODRdistractor_diagonal,10.53333333,70.43333333,0.962566845,1,1,1,1,0.9,1,0.9,0.9,1,1,1,1,1,1,1,0.9,0.9,0.9,1,0.9
OLI,ODRdistractor_cardinal,10.56666667,70.46666667,0.932642487,1,1,1,1,1,1,0.75,0.9,0.75,0.75,1,1,1,0.9,0.9,0.9,1,1,1,1
OLI,ODRdistractor_cardinal,10.7,70.6,0.736842105,0.636363636,1,1,0.875,1,0.875,0.388888889,0.5,0.411764706,0.583333333,0.875,1,0.636363636,1,0.7,0.875,1,0.875,0.875,1
OLI,ODRdistractor_diagonal,10.73333333,70.63333333,0.91503268,1,1,0.7,0.777777778,1,1,1,1,0.875,0.875,1,1,1,0.875,0.875,0.875,0.875,1,1,0.777777778
OLI,ODRdistractor_cardinal,10.76666667,70.66666667,0.846560847,1,1,0.888888889,1,1,0.727272727,0.8,0.727272727,0.421052632,0.615384615,1,1,1,1,1,0.8,1,0.888888889,0.888888889,1
PIC,ODRdistractor_cardinal,-31.33333333,47.3,0.857142857,1,1,1,1,1,1,0.857142857,0.857142857,1,1,0.75,1,0.6,0.75,0.75,1,0.857142857,0.6,0.75,0.857142857
PIC,ODRdistractor_diagonal,-31.26666667,47.36666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PIC,ODRdistractor_cardinal,-31.13333333,47.5,0.803149606,0.857142857,1,0.833333333,0.714285714,0.5,1,1,1,1,1,0.833333333,0.714285714,0.833333333,0.625,1,1,0.833333333,0.625,0.555555556,0.833333333
PIC,ODRdistractor_diagonal,-31.1,47.53333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PIC,ODRdistractor_cardinal,-31.06666667,47.56666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PIC,ODRdistractor_cardinal,-30.66666667,47.96666667,0.87012987,0.857142857,1,0.857142857,0.857142857,0.6,1,1,1,1,1,1,0.875,0.75,0.5,0.875,1,0.875,1,1,0.857142857
PIC,ODRdistractor_diagonal,-30.63333333,48,0.961538462,0.857142857,1,1,1,0.666666667,1,1,1,1,0.875,1,1,1,1,1,1,1,1,1,1
PIC,ODRdistractor_cardinal,-30.6,48.03333333,0.98,1,1,0.666666667,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PIC,ODRdistractor_cardinal,-30.6,48.03333333,0.988764045,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.833333333,1,1
PIC,ODRdistractor_diagonal,-30.43333333,48.2,0.789473684,0.818181818,0.666666667,0.615384615,0.444444444,0.380952381,1,1,1,1,1,1,0.888888889,1,0.727272727,1,1,0.727272727,0.9,0.888888889,0.888888889
PIC,ODRdistractor_cardinal,-30.4,48.23333333,0.925675676,0.7,0.875,0.875,0.636363636,0.857142857,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875
PIC,ODRdistractor_diagonal,-30.36666667,48.26666667,0.963855422,1,1,0.888888889,1,1,0.888888889,1,1,1,1,1,1,1,1,1,1,0.888888889,1,0.888888889,0.8
PIC,ODRdistractor_cardinal,-30.2,48.43333333,0.952380952,1,0.9,1,1,0.9,1,1,0.9,1,1,1,1,0.818181818,0.9,1,1,0.9,1,0.818181818,1
PIC,ODRdistractor_diagonal,-30.16666667,48.46666667,0.96803653,1,0.916666667,1,0.916666667,1,1,1,1,0.916666667,0.833333333,1,1,1,1,1,1,0.909090909,1,1,0.909090909
PIC,ODRdistractor_diagonal,-30.13333333,48.5,0.91503268,1,1,1,1,0.875,1,1,1,1,1,0.875,0.7,0.583333333,0.875,0.875,1,0.875,1,1,1
PIC,ODRdistractor_cardinal,-25,53.63333333,0.814070352,0.470588235,0.727272727,0.615384615,0.888888889,0.8,1,1,1,0.888888889,1,1,1,1,1,1,0.727272727,0.666666667,0.727272727,0.727272727,0.727272727
PIC,ODRdistractor_cardinal,-24.96666667,53.66666667,0.729957806,0.75,0.666666667,0.666666667,0.666666667,0.571428571,0.9,0.9,1,0.818181818,1,1,1,1,1,1,0.75,0.615384615,0.421052632,0.45,0.5
PIC,ODRdistractor_diagonal,-24.83333333,53.8,0.916666667,0.916666667,1,0.916666667,0.916666667,1,1,0.916666667,1,1,1,0.916666667,0.916666667,1,1,0.846153846,0.916666667,0.916666667,0.916666667,0.733333333,0.6875
PIC,ODRdistractor_cardinal,-24.8,53.83333333,0.890756303,0.647058824,0.785714286,0.833333333,1,1,1,1,0.916666667,1,1,1,1,0.909090909,1,0.846153846,1,1,0.6875,0.769230769,0.785714286
PIC,ODRdistractor_cardinal,-24.76666667,53.86666667,0.824902724,0.833333333,0.714285714,0.714285714,0.916666667,0.909090909,0.833333333,0.916666667,1,0.647058824,1,0.909090909,0.846153846,0.6875,0.916666667,0.916666667,0.785714286,0.733333333,0.846153846,0.733333333,0.916666667
