Task,percorr,percorr_class_1,percorr_class_2,percorr_class_3,percorr_class_4,percorr_class_5,percorr_class_6,percorr_class_7,percorr_class_8,ID,mature,age
ODR3,0.970149254,1,1,1,1,1,0.888888889,1,0.9,UNI,10.91506849,55.49589041
ODR3,1,1,1,1,1,1,1,1,1,UNI,10.94794521,55.52876712
ODR,0.876712329,0.888888889,1,0.8,1,0.888888889,0.727272727,1,0.8,UNI,11.11232877,55.69315068
ODR3,0.857142857,1,0.727272727,0.8,0.9,1,0.727272727,0.888888889,0.888888889,UNI,11.14520548,55.7260274
ODR3,0.985915493,1,1,1,1,1,1,1,0.9,UNI,11.17808219,55.75890411
ODR,0.888888889,0.727272727,0.888888889,0.888888889,0.8,1,1,1,0.888888889,UNI,11.30958904,55.89041096
ODR3,0.955223881,0.888888889,0.888888889,1,0.888888889,1,1,1,1,UNI,11.34246575,55.92328767
ODR3,0.941176471,0.8,1,1,1,1,1,0.888888889,0.888888889,UNI,11.37534247,55.95616438
ODR3,0.942028986,1,1,1,1,0.9,0.888888889,0.888888889,0.888888889,UNI,11.40821918,55.9890411
ODR,0.888888889,0.888888889,1,0.888888889,1,1,0.8,1,0.666666667,UNI,11.53972603,56.12054795
ODR3,0.955223881,1,1,0.8,1,1,1,1,0.888888889,UNI,11.57260274,56.15342466
ODR3,0.96969697,1,1,0.888888889,1,1,1,1,0.888888889,UNI,11.60547945,56.18630137
ODR3,0.955223881,0.888888889,1,1,1,1,0.8,1,1,UNI,11.63835616,56.21917808
ODR3,0.941176471,1,0.857142857,0.857142857,0.857142857,1,1,1,1,UNI,15.94520548,60.5260274
ODR3,0.893333333,0.9,0.8,0.75,1,0.888888889,0.888888889,1,1,UNI,15.97808219,60.55890411
ODR,0.857142857,1,0.857142857,0.857142857,1,0.857142857,1,0.857142857,0.6,UNI,16.17534247,60.75616438
ODR3,0.941176471,0.888888889,0.888888889,1,1,0.8,1,1,1,UNI,16.24109589,60.82191781
ODR,0.965517241,1,1,1,1,1,1,1,0.777777778,UNI,16.37260274,60.95342466
ODR3,0.941176471,0.857142857,1,0.857142857,1,1,1,1,0.857142857,UNI,16.40547945,60.98630137
ODR3,0.872340426,1,0.833333333,0.714285714,0.833333333,1,1,0.714285714,1,UNI,16.43835616,61.01917808
ODR3,0.941176471,1,1,0.8,0.888888889,1,1,1,0.888888889,UNI,16.47123288,61.05205479
ODR,0.923076923,0.857142857,1,1,0.857142857,1,0.857142857,1,0.857142857,UNI,16.60273973,61.18356164
ODR3,0.941176471,0.888888889,1,1,0.888888889,0.888888889,1,0.888888889,1,UNI,16.63561644,61.21643836
ODR3,0.955223881,0.888888889,1,0.8,1,1,1,1,1,UNI,16.66849315,61.24931507
ODR,0.888888889,0.888888889,1,1,0.888888889,0.888888889,0.8,0.8,0.888888889,UNI,16.83287671,61.41369863
ODR3,0.96,0.857142857,1,1,1,1,0.857142857,1,1,UNI,16.86575342,61.44657534
ODR,0.888888889,0.8,1,0.888888889,1,0.888888889,1,0.8,0.8,UNI,16.89863014,61.47945205
ODR3,0.853333333,1,0.727272727,0.5,1,1,1,1,1,UNI,16.93150685,61.51232877
ODR,0.88,0.692307692,1,1,1,1,0.8,0.888888889,0.8,VIK,-10.52054795,44.54794521
ODR,0.96969697,0.888888889,1,1,1,1,1,0.888888889,1,VIK,-10.48767123,44.58082192
ODR,0.914285714,1,1,0.571428571,1,1,1,1,1,VIK,-10.45479452,44.61369863
ODR,0.984615385,0.888888889,1,1,1,1,1,1,1,VIK,-10.32328767,44.74520548
ODR,1,1,1,1,1,1,1,1,1,VIK,-10.29041096,44.77808219
ODR,0.98245614,0.875,1,1,1,1,1,1,1,VIK,-10.29041096,44.77808219
ODR,0.914285714,1,0.888888889,0.888888889,0.888888889,0.888888889,0.888888889,1,0.888888889,VIK,-10.25753425,44.8109589
ODR,0.979591837,0.857142857,1,1,1,1,1,1,1,VIK,-10.22465753,44.84383562
ODR,0.914285714,0.8,0.888888889,0.888888889,1,0.888888889,1,0.888888889,1,VIK,-10.09315068,44.97534247
ODR,0.96,0.75,1,1,1,1,1,1,1,VIK,-10.06027397,45.00821918
ODR,0.985507246,1,1,1,0.9,1,1,1,1,VIK,-10.02739726,45.04109589
ODR,0.941176471,0.888888889,1,1,1,1,1,0.888888889,0.8,VIK,-10.02739726,45.04109589
ODR,0.957142857,0.888888889,1,1,1,1,1,1,0.818181818,VIK,-9.994520548,45.0739726
ODR,0.95,1,0.818181818,1,1,1,1,0.9,0.909090909,VIK,-9.830136986,45.23835616
ODR,1,1,1,1,1,1,1,1,1,VIK,-9.797260274,45.27123288
ODR,0.96969697,0.888888889,1,1,1,1,0.888888889,1,1,VIK,-9.402739726,45.66575342
ODR,0.98,1,0.857142857,1,1,1,1,1,1,VIK,-9.336986301,45.73150685
ODR,0.955223881,0.888888889,0.8,1,1,1,1,1,1,VIK,-9.304109589,45.76438356
ODR,0.927536232,0.888888889,0.8,1,0.888888889,0.888888889,1,1,1,VIK,-9.17260274,45.89589041
ODR,0.972972973,0.9,1,1,1,1,1,1,0.9,VIK,-7.989041096,47.07945205
ODR,0.893333333,1,0.692307692,0.888888889,1,1,1,1,0.727272727,VIK,-7.956164384,47.11232877
ODR,0.546875,0.714285714,0.4,0.833333333,0.8,0.8,0.363636364,0.307692308,0.714285714,VIK,-7.693150685,47.37534247
ODR,0.912087912,0.916666667,0.916666667,1,0.909090909,1,1,0.769230769,0.833333333,VIK,-7.463013699,47.60547945
ODR,0.711111111,0.8,0.8,0.888888889,0.888888889,1,0.888888889,0.296296296,1,VIK,-7.265753425,47.80273973
ODR,0.42384106,1,0.266666667,0.666666667,0.666666667,1,1,0.131147541,0.666666667,VIK,-7.232876712,47.83561644
ODR,0.540983607,0.8,0.8,0.444444444,1,1,1,0.166666667,0.833333333,VIK,-7.101369863,47.96712329
ODR,0.425531915,1,0.454545455,0.5,1,1,1,0.108695652,0.714285714,VIK,-7.035616438,48.03287671
ODR,0.764705882,1,1,0.727272727,1,1,0.8,0.380952381,0.8,VIK,-4.109589041,50.95890411
ODR,0.705882353,1,1,1,1,1,1,0.230769231,1,VIK,-3.912328767,51.15616438
ODR,0.538461538,0.875,0.7,1,0.875,1,0.875,0.142857143,1,VIK,-3.879452055,51.1890411
ODR,0.453333333,1,0.5,0.8,1,1,1,0.1,1,VIK,-3.846575342,51.22191781
ODR,0.547008547,1,0.888888889,0.727272727,1,1,1,0.140350877,1,VIK,-3.81369863,51.25479452
ODR,0.674157303,1,1,1,1,1,1,0.194444444,1,VIK,-3.780821918,51.28767123
ODR,0.680851064,1,0.727272727,0.533333333,1,1,1,0.285714286,1,VIK,-3.550684932,51.51780822
ODR,0.621359223,1,0.8,0.8,1,1,1,0.19047619,0.888888889,VIK,-3.550684932,51.51780822
ODR,0.792682927,1,1,1,1,1,0.888888889,0.333333333,1,VIK,-3.550684932,51.51780822
ODR,0.515151515,1,0.727272727,0.409090909,0.9,1,1,0.150943396,0.818181818,VIK,-3.550684932,51.51780822
ODR,0.659793814,1,1,0.666666667,0.888888889,0.888888889,0.888888889,0.285714286,0.571428571,VIK,-3.320547945,51.74794521
ODR,0.709677419,1,0.888888889,0.818181818,0.8,1,0.888888889,0.275862069,1,VIK,-3.287671233,51.78082192
ODR,0.522058824,1,1,1,0.9,1,0.6,0.125,0.818181818,VIK,-3.254794521,51.81369863
ODR,0.448275862,1,1,0.9,1,1,0.470588235,0.108108108,0.666666667,VIK,-3.221917808,51.84657534
ODR,0.363636364,0.9,1,0.818181818,1,1,0.5625,0.072580645,0.9,VIK,-3.189041096,51.87945205
ODR,0.380952381,1,0.857142857,0.857142857,0.857142857,1,0.5,0.081081081,0.857142857,VIK,-3.156164384,51.91232877
ODR,0.864864865,1,1,1,1,0.888888889,1,0.533333333,0.8,VIK,6.739726027,61.80821918
ODR,0.864864865,0.8,1,1,1,0.888888889,0.888888889,0.571428571,1,VIK,6.77260274,61.84109589
ODR,0.746666667,0.875,0.875,1,1,1,1,0.304347826,0.875,VIK,6.969863014,62.03835616
ODR,0.82278481,0.888888889,0.888888889,1,1,1,0.8,0.444444444,1,VIK,7.002739726,62.07123288
ODR,0.680851064,1,1,0.888888889,1,1,0.533333333,0.275862069,0.888888889,VIK,7.035616438,62.10410959
ODR,0.827586207,1,0.9,1,1,1,0.818181818,0.428571429,1,VIK,7.2,62.26849315
ODR,0.858974359,0.888888889,1,0.888888889,1,1,1,0.5,1,VIK,7.232876712,62.30136986
ODR,0.646464646,1,0.8,1,1,1,1,0.195121951,1,VIK,7.265753425,62.33424658
ODR,0.942028986,1,1,1,1,1,1,0.666666667,1,VIK,7.397260274,62.46575342
ODR,0.85,1,0.8,1,1,1,1,0.444444444,1,VIK,7.430136986,62.49863014
ODR,0.761904762,0.888888889,1,1,0.8,1,1,0.32,1,VIK,7.463013699,62.53150685
ODR,0.648648649,1,0.857142857,0.857142857,1,1,1,0.2,1,VIK,7.495890411,62.56438356
ODR,0.941176471,1,0.888888889,1,1,1,1,0.8,0.888888889,VIK,7.660273973,62.72876712
ODR,0.790123457,0.888888889,1,1,1,0.888888889,0.888888889,0.380952381,0.888888889,VIK,7.693150685,62.76164384
ODR,0.915492958,1,1,0.9,1,1,1,0.8,0.727272727,VIK,11.83561644,66.90410959
ODR,0.914285714,1,1,0.666666667,1,0.888888889,1,0.888888889,1,VIK,11.86849315,66.9369863
ODR,0.848101266,0.888888889,0.75,0.571428571,1,1,1,0.818181818,1,VIK,12.03287671,67.10136986
ODR,0.790123457,0.888888889,1,1,1,1,1,0.380952381,0.727272727,VIK,12.06575342,67.13424658
ODR,0.853333333,1,1,1,1,1,1,0.421052632,1,VIK,12.09863014,67.16712329
ODR,0.8,0.888888889,1,1,1,1,1,0.380952381,0.8,VIK,12.2630137,67.33150685
ODR,0.833333333,1,1,1,1,1,0.625,0.555555556,0.833333333,VIK,12.29589041,67.36438356
ODR,0.730337079,1,0.9,1,1,1,0.533333333,0.333333333,1,VIK,12.32876712,67.39726027
ODR,0.64,0.888888889,0.888888889,1,1,0.8,0.727272727,0.285714286,0.470588235,VIK,12.46027397,67.52876712
ODR,0.547008547,1,0.571428571,0.421052632,1,1,0.727272727,0.210526316,0.727272727,VIK,12.49315068,67.56164384
ODR,0.738636364,0.727272727,1,0.727272727,1,1,0.642857143,0.444444444,0.8,VIK,12.69041096,67.75890411
ODR,0.645454545,1,1,0.9,1,0.9,0.818181818,0.195121951,0.818181818,VIK,12.72328767,67.79178082
ODR,0.568965517,0.888888889,1,0.666666667,1,1,0.5,0.181818182,0.9,VIK,12.75616438,67.82465753
ODR,0.587155963,0.888888889,1,0.888888889,1,1,0.666666667,0.177777778,0.8,VIK,12.92054795,67.9890411
ODR,0.691489362,1,1,0.888888889,1,1,0.8,0.258064516,0.727272727,VIK,12.95342466,68.02191781
ODR,0.62745098,1,1,0.888888889,1,1,0.615384615,0.2,1,VIK,12.98630137,68.05479452
ODR,0.516129032,0.888888889,1,1,1,1,0.4,0.148148148,0.888888889,VIK,13.01917808,68.08767123
