ID,session,mature,age,sex,hemi,anterior_cingulate_gyrus_contra,orbital_frontal_cortex_contra,lateral_prefrontal_cortex_contra,motor_cortex_contra,somatosensory_cortex_contra,superior_parietal_lobule_contra,inferior_parietal_lobule_contra,posterior_medial_cortex_contra,medial_temporal_lobe_contra,temporal_pole_contra,inferior_temporal_cortex_contra,superior_temporal_region_contra,core_and_belt_areas_of_auditory_cortex_contra,floor_of_the_lateral_sulcus_contra,middle_temporal_area_contra,extrastriate_visual_areas_2_4_contra,primary_visual_cortex_contra,lateral_and_ventral_pallium_contra,medial_pallium_contra,amygdala_contra,basal_ganglia_contra,diagonal_subpallium_contra,preoptic_complex_contra,hypothalamus_contra,prethalamus_contra,thalamus_contra,epithalamus_contra,pretectum_contra,midbrain_contra,pons_contra,cerebellum_contra,medulla_contra
SON,3,-14.8,40.7,M,R,575.25,1275.75,1846.375,2441.875,1117.875,768.5,949.75,614.625,282.875,200.375,1508.25,709.125,407.25,287.25,84.125,2530.5,1804.25,248.5,543.125,207.875,2099.5,151.25,139.5,149.25,23.5,713.875,13.125,26.625,476,617.5,3285.125,477.875
SON,4,-12,43.5,M,R,614.375,1254.125,1849.25,2488.375,1086.75,759.375,930.5,593.5,399.875,256.25,1688,699.375,402,309,85,2451,1840,276.5,569.5,244.375,2143.125,145.75,131.875,154.25,20.875,739.375,13,22.25,506,657.25,3324.375,523
SON,5,-8.8,46.7,M,R,603.375,1385.25,1954.375,2583.25,1158.875,792,942.375,575.25,367.125,248.625,1739.375,746.25,445.25,300.375,85.875,2536.75,1800.625,268.125,585.125,287.25,2165.875,167.125,150,165.25,26.5,730.5,13.25,23.125,518.75,694.375,3489.5,540.5
SON,6,-5.6,49.8,M,R,560.625,1163.125,1783.375,2496.125,1091,748,933,603.25,336.75,191.5,1493.125,693.125,394.25,303.75,80.625,2435.125,1827,253,580,260.25,2111.5,154.125,149.25,166.375,23.125,736.375,12.75,26.125,508.625,672.5,3295.125,505.25
SON,7,-2.5,53,M,R,546.625,1149.25,1635.125,2404.125,1080.375,736.125,961.875,582.375,354.5,246.125,1637.875,728.125,452.5,313.625,80.375,2512.375,1823.125,259.25,586.875,247.375,2085.75,183,204.375,188.125,28.875,739.5,13.375,23.875,494.875,713.375,3481.125,544.375
SON,8,0.5,56,M,R,589.75,1379.5,1720.25,2444.375,1104.25,752,928.5,604.25,411,245.5,1701.5,703.5,433.875,309.625,84.75,2558.375,1864,280.625,606.625,263.375,2161,155.625,182.5,167,28.875,779.375,13.5,26,525.875,730,3515.25,546.125
SON,9,3.5,59,M,R,573.375,1228.5,1741.125,2495.625,1124.625,775.75,939.25,616.5,413.375,280.875,1614.125,725,408.125,323.25,85.375,2500.625,1859.5,274.875,612.125,264.75,2154.125,161.75,174,172.25,26.625,748,13.125,24.875,517.125,719.625,3285.125,553.375
SON,10,6.7,62.2,M,R,570.625,1220.125,1726.25,2463.125,1115.75,757.625,935.5,608,404.75,240.375,1594.125,677.75,398.25,297,80.75,2461.75,1818,262.75,605.625,274.75,2121.125,152.625,163.375,167.875,30.875,761.625,13.75,28.25,530,719.75,3433.75,537.375
SON,11,10.1,65.6,M,R,558.5,1223,1565.75,2280.125,1068.25,704.375,868,587.125,389.75,247.875,1566.875,656.25,392,299.5,81.875,2450.375,1661.5,282.5,585.25,257.375,2091.5,161.75,160.625,177.875,33.875,772,12.875,27,527.125,738.125,3296.625,536.375
TRI,1,-19.7,30.8,F,L,687.875,1489.5,1668,2704,1359.25,975.625,1193.375,839,369.875,299.25,1914.375,939.625,567.5,466.375,110.125,3198.875,2170,363.125,648,269,2382.875,154.375,123.875,151.625,35.625,998.125,14.5,24.375,599.625,682.25,3634.625,540.125
TRI,2,-15.7,34.8,F,L,661.375,1354.5,1683.5,2681.25,1375.375,1008,1180.375,828.375,321,224.5,1777.75,868.375,595.5,450.75,116,3123.125,2051,347.25,637.875,289.375,2378.875,188.25,153.375,170.625,32,1030.125,15.875,29,631.375,662.75,3463.625,563.5
TRI,3,-12.2,38.3,F,L,656.25,1357.625,1679.25,2757,1392.75,1019.75,1215.375,824.75,309.75,209.125,1801,887.25,577.25,453.75,117.125,3137,2089.5,357.75,670.25,275.25,2408.25,177.375,151.25,167.5,32.625,1026.375,13.125,28.375,620.625,672.625,3464.875,561.875
