mature,eff_dim,ID
37.5701369863014,15.2089030120373,All
37.8758904109589,13.872780997753,All
37.4101369863014,15.1476448301428,All
38.3109589041096,13.4768117050707,All
37.9701369863014,15.1364566394655,All
38.2035616438356,13.8442262659019,All
37.6939726027397,14.8871204446143,All
37.6676712328767,14.3506142116838,All
37.7827397260274,14.6835182105326,All
37.4912328767123,15.3293499233455,All
37.9493150684931,11.5774410555086,All
38.1575342465753,13.0866864700557,All
37.9876712328767,13.0835322661497,All
38.3208219178082,15.0963524169731,All
37.7465753424658,14.2847327334664,All
37.5898630136986,15.3200046939523,All
37.4320547945205,13.4246491985056,All
38.1169863013698,14.5063881014901,All
38.1093150684931,12.8796463306003,All
37.7728767123288,13.4024900063063,All
38.2572602739726,14.4893884246318,All
37.8145205479452,13.6019071968942,All
37.9756164383562,14.4168777613143,All
37.4813698630137,12.4972208569974,All
38.1630136986301,15.7062845224897,All
38.1071232876712,16.0047292445121,All
37.5975342465753,15.2166516121573,All
37.3421917808219,14.2495208314263,All
37.7772602739726,13.0596848221604,All
37.6205479452055,14.150604706546,All
37.2895890410959,15.7272397010321,All
37.5668493150685,15.1851945722386,All
37.9569863013699,14.6801232816011,All
37.9186301369863,13.0612026155675,All
37.5438356164384,14.6622660043065,All
38.4271232876712,14.4724747248386,All
38.2956164383562,13.2185886838473,All
37.2271232876712,10.1694133217845,All
37.7038356164384,14.4678077678487,All
37.4342465753425,15.8014924626262,All
37.7498630136986,15.3308962493308,All
37.3783561643836,12.9810144995254,All
37.9635616438356,14.8486211991186,All
37.4780821917808,14.2240908306981,All
37.3860273972603,15.010197047771,All
37.6413698630137,13.662912559527,All
37.9887671232877,14.4779126205468,All
37.2665753424658,14.1170851538054,All
38.0632876712329,12.4792622649916,All
37.6567123287671,14.1945134410936,All
37.5712328767123,14.8026492166272,All
37.7958904109589,15.0738991748442,All
37.7147945205479,14.1866779732199,All
37.7367123287671,15.626412933191,All
37.7356164383562,15.6285401621735,All
37.898904109589,15.7061857806116,All
38.2298630136986,14.2214524610186,All
38.113698630137,13.5103956147237,All
38.2419178082192,15.454054979643,All
38.2353424657534,14.9641129673111,All
37.5569863013699,13.198337249231,All
38.1323287671233,15.1462331127508,All
37.7608219178082,13.8328606469861,All
38.166301369863,15.8824327743437,All
38.1706849315068,13.8238049819531,All
38.1049315068493,15.2899211977151,All
39.6983561643836,13.8743059414742,All
39.1854794520548,15.4581610282033,All
40.5487671232877,14.7322407273259,All
39.4331506849315,15.1735550250984,All
40.6835616438356,15.2048957531595,All
39.9405479452055,15.6384118937293,All
39.9580821917808,15.0592900337478,All
39.098904109589,14.8834755133524,All
39.872602739726,15.9271934418937,All
38.4227397260274,15.4408303478693,All
39.5580821917808,15.9458730886558,All
39.1547945205479,14.8947134397339,All
40.4720547945205,16.5731105151012,All
40.0884931506849,13.3099900763408,All
39.3816438356164,16.3089944482437,All
40.6583561643836,14.0480663163359,All
39.6906849315068,16.4121156183565,All
38.9147945205479,16.4231917753447,All
40.1115068493151,15.7387744518923,All
39.5657534246575,15.2475436554741,All
39.4627397260274,14.7826617004266,All
40.1882191780822,15.2055213376768,All
39.6358904109589,14.3644719662057,All
39.7827397260274,14.5996078139198,All
39.8123287671233,13.4437827855725,All
38.9279452054794,15.4984970007502,All
39.6260273972603,16.3282306284653,All
40.4490410958904,14.285406187847,All
39.8309589041096,15.2395964353183,All
40.3449315068493,15.774860313576,All
40.3252054794521,14.5218858006426,All
39.7312328767123,15.9376858080252,All
39.9372602739726,14.2793072073596,All
39.1361643835616,12.1955531325841,All
40.0797260273973,16.0115567600842,All
40.2616438356164,14.8315815723582,All
39.527397260274,15.0233126752842,All
40.3832876712329,16.1305460581829,All
39.5975342465753,14.7445446712949,All
39.8879452054794,15.2435623521041,All
40.3854794520548,16.4154483669837,All
39.8101369863014,14.3131455575815,All
39.5865753424657,15.5956461140745,All
39.9745205479452,12.625118426635,All
39.8868493150685,15.3238590398146,All
39.2709589041096,14.3724233551735,All
39.9153424657534,15.2872912525682,All
40.2484931506849,13.2770687235594,All
39.5745205479452,14.4308481652457,All
39.7838356164384,14.4773215870972,All
41.5295890410959,16.1741635699853,All
40.618904109589,14.834021058548,All
40.9279452054794,17.5623561839895,All
40.4665753424658,14.3374164723766,All
41.3246575342466,14.9107436712988,All
40.9104109589041,15.5713617384913,All
40.5268493150685,15.3812628536759,All
40.993698630137,14.9955767391399,All
