predictor,fit,model_name
-5.295143213,0.333501794,ALIC
-4.811955168,0.334384259,ALIC
-4.328767123,0.335266724,ALIC
-3.845579078,0.336149189,ALIC
-3.362391034,0.337031654,ALIC
-2.879202989,0.337914119,ALIC
-2.396014944,0.338796584,ALIC
-1.912826899,0.339679049,ALIC
-1.429638854,0.340561514,ALIC
-0.946450809,0.341443979,ALIC
-0.463262765,0.342326444,ALIC
0.01992528,0.343208909,ALIC
0.503113325,0.344091374,ALIC
0.98630137,0.344973839,ALIC
1.469489415,0.345856304,ALIC
1.95267746,0.346738769,ALIC
2.435865505,0.347621234,ALIC
2.919053549,0.348503699,ALIC
3.402241594,0.349386164,ALIC
3.885429639,0.350268629,ALIC
4.368617684,0.351151094,ALIC
4.851805729,0.352033559,ALIC
5.334993774,0.352916024,ALIC
5.818181818,0.353798489,ALIC
6.301369863,0.354680954,ALIC
6.784557908,0.355563419,ALIC
7.267745953,0.356445884,ALIC
7.750933998,0.357328349,ALIC
8.234122043,0.358210814,ALIC
8.717310088,0.359093279,ALIC
9.200498132,0.359975744,ALIC
9.683686177,0.360858209,ALIC
10.16687422,0.361740674,ALIC
10.65006227,0.362623139,ALIC
11.13325031,0.363505604,ALIC
11.61643836,0.364388069,ALIC
12.0996264,0.365270534,ALIC
12.58281445,0.366153,ALIC
13.06600249,0.367035465,ALIC
13.54919054,0.36791793,ALIC
14.03237858,0.368800395,ALIC
14.51556663,0.36968286,ALIC
14.99875467,0.370565325,ALIC
15.48194272,0.37144779,ALIC
15.96513076,0.372330255,ALIC
16.44831881,0.37321272,ALIC
16.93150685,0.374095185,ALIC
-30.90410959,0.158953566,anterior cingulum
-30.42092155,0.159021795,anterior cingulum
-29.9377335,0.159090024,anterior cingulum
-29.45454546,0.159158254,anterior cingulum
-28.97135741,0.159226483,anterior cingulum
-28.48816937,0.159294712,anterior cingulum
-28.00498132,0.159362942,anterior cingulum
-27.52179328,0.159431171,anterior cingulum
-27.03860523,0.159499401,anterior cingulum
-26.55541719,0.15956763,anterior cingulum
-26.07222914,0.159635859,anterior cingulum
-25.5890411,0.159704089,anterior cingulum
