d,mature,ID,r2,fixrate,age
0.224790521,16.24109589,UNI,0.501106477,17.109375,60.82191781
0.224916377,-3.287671233,ROS,0.840374056,1.171875,62.76164384
0.22529951,-12.62465753,SON,0.710204911,4.428819444,42.08219178
0.225564923,16.24109589,UNI,0.627315978,8.328125,60.82191781
0.225601106,5.030136986,OLI,0.63999999,1.546875,64.10958904
0.225638819,11.11232877,UNI,0.770104061,0.796875,55.69315068
0.225675287,-2.695890411,SON,0.512385674,5.041666667,52.0109589
0.22589166,-2.597260274,ROS,0.600223203,4.875,63.45205479
0.226109952,5.391780822,UNI,0.55313588,2.875,49.97260274
0.226303153,-10.22465753,VIK,0.832992369,0.583333333,44.84383562
0.226315374,6.016438356,TRI,0.589426947,15.8125,55.82465753
0.226385763,-3.156164384,SON,0.709753343,3.145833333,51.55068493
0.226466393,16.37260274,UNI,0.688311674,2.625,60.95342466
0.226510051,7.890410959,SON,0.978445676,11.53125,62.59726027
0.226549898,5.819178082,TRI,0.687234786,19.875,55.62739726
0.226706384,10.84931507,UNI,0.617689836,6.203125,55.43013699
0.22701017,-9.994520548,TRI,0.820179807,0.859375,39.81369863
0.227626434,12.69041096,VIK,0.702533959,6.779513889,67.75890411
0.227696758,5.589041096,UNI,0.774624952,2.91875,50.16986301
0.227915249,16.24109589,UNI,0.89836531,1.515625,60.82191781
0.228116514,16.86575342,UNI,0.671648342,2.625,61.44657534
0.228382821,7.62739726,VIK,0.631707902,2,62.69589041
0.228450324,-14.36712329,PIC,0.786114798,1.046875,63.1890411
0.228458395,-12.42739726,SON,0.902096886,2.498263889,42.27945205
0.228472774,-2.991780822,SON,0.697802187,2.359375,51.71506849
0.228495604,-2.498630137,QUA,0.647058809,0.625,53.98356164
0.228506044,4.668493151,OLI,0.599287611,6.484375,63.74794521
0.228705796,-7.495890411,TRI,0.562523179,2.357142857,42.31232877
0.228708314,-17.26027397,ROS,0.836363622,2.578125,48.7890411
0.228745863,11.40821918,UNI,0.765589787,8.934027778,55.9890411
0.228974793,16.37260274,UNI,0.59014347,1.017857143,60.95342466
0.228985594,11.80273973,TRI,0.685714275,3.041666667,61.6109589
0.229108219,-0.032876712,OLI,0.935540216,3.53125,59.04657534
0.22921783,-7.528767123,TRI,0.510446068,1.553571429,42.27945205
0.229227965,10.15890411,OLI,0.50549449,0.65625,69.23835616
0.229230585,-7.956164384,VIK,0.562474049,3.114583333,47.11232877
0.229249651,0.493150685,TRI,0.895752878,3.789930556,50.30136986
0.229503017,-14.30136986,PIC,0.691428555,0.78125,63.25479452
0.229611569,2.991780822,SON,0.584662356,4.875,57.69863014
0.229621063,-14.56438356,PIC,0.880004058,2.769097222,62.99178082
0.229808992,10.32328767,OLI,0.517857133,0.541666667,69.40273973
0.22984624,10.42191781,UNI,0.880489077,13.2,55.00273973
0.229895472,-10.84931507,SON,0.551645796,10.33928571,43.85753425
0.229895479,16.60273973,UNI,0.503936993,0.729166667,61.18356164
0.229996419,-14.56438356,PIC,0.891842969,9.963541667,62.99178082
0.230089616,-5.030136986,OLI,0.839628371,0.939236111,54.04931507
0.230103697,15.94520548,UNI,0.513317128,23.3125,60.5260274
0.230168814,2.531506849,SON,0.579193404,2.09375,57.23835616
0.230293403,6.246575342,TRI,0.531693463,0.640625,56.05479452
0.230450804,16.37260274,UNI,0.721527296,1.142857143,60.95342466
0.230929458,-10.52054795,OLI,0.839616121,0.776041667,48.55890411
0.231058706,-12.88767123,ROS,0.582317424,102.1920455,53.16164384
0.231124082,0,OLI,0.589127676,8.765625,59.07945205
0.231155714,-7.956164384,VIK,0.617261639,1.050347222,47.11232877
0.231175712,-14.1369863,PIC,0.588674894,11.046875,63.41917808
0.231338701,16.40547945,UNI,0.647959165,0.833333333,60.98630137
0.23143924,-12.7890411,ROS,0.572916652,1.739583333,53.26027397
0.231505329,-17.3260274,ROS,0.711688261,1.03125,48.72328767
0.231535382,15.94520548,UNI,0.723214267,2.791666667,60.5260274
0.231548404,2.136986301,SON,0.537123375,1.369791667,56.84383562
0.231616381,5.326027397,OLI,0.737311484,1.159722222,64.40547945
0.231674995,5.095890411,UNI,0.695687053,1.652777778,49.67671233
0.231683677,2.136986301,SON,0.710922788,9.815972222,56.84383562
0.231778512,-5.063013699,UNI,0.631439876,2.05,39.51780822
0.231974338,-2.564383562,ROS,0.532341252,4.169642857,63.48493151
0.231992244,0.263013699,UNI,0.834617651,0.9375,44.84383562
0.23219671,-6.805479452,QUA,0.599605423,11.05,49.67671233
0.232251974,2.531506849,SON,0.679070583,2.57514881,57.23835616
0.232307548,6.049315068,TRI,0.547218942,22.578125,55.85753425
0.23237903,4.8,OLI,0.679407239,4.233333333,63.87945205
0.2323921,10.15890411,OLI,0.58214284,0.678571429,69.23835616
0.232514139,2.564383562,SON,0.651284674,2.59375,57.27123288
0.232541295,0.361643836,UNI,0.621848689,1.09375,44.94246575
0.232541295,0.361643836,UNI,0.621848689,1.140625,44.94246575
0.23254742,10.1260274,OLI,0.529616714,10.51666667,69.20547945
0.232667293,10.71780822,UNI,0.69142856,2.15625,55.29863014
0.23274104,0.55890411,UNI,0.757551008,0.5625,45.13972603
0.232890267,-5.556164384,OLI,0.570482611,6.225694444,53.52328767
0.232975394,2.597260274,SON,0.723883293,1.703125,57.30410959
0.233131912,2.301369863,SON,0.631147523,16.26875,57.00821918
0.233223687,-3.090410959,ROS,0.575155271,0.578125,62.95890411
0.233225529,2.498630137,SON,0.779033892,1.564236111,57.20547945
0.23338544,-20.05479452,PIC,0.637362611,0.625,57.50136986
0.23340415,6.345205479,TRI,0.885933116,5.3125,56.15342466
0.233519337,-19.10136986,PIC,0.608695643,0.53125,58.45479452
0.233832826,-10.15890411,SON,0.543952531,2.373263889,44.54794521
0.233905842,-5.22739726,UNI,0.748977896,3.928819444,39.35342466
0.234001805,2.498630137,SON,0.566684219,4.796875,57.20547945
0.234180245,16.83287671,UNI,0.739702001,1.140625,61.41369863
0.234933822,-14.95890411,PIC,0.714285705,1.660714286,62.59726027
0.235065822,11.86849315,TRI,0.677567983,8.90625,61.67671233
0.235142286,1.084931507,ROS,0.581829717,2.298611111,67.13424658
0.235209207,-24.39452055,PIC,0.878515169,1.15625,53.16164384
0.235293487,11.60547945,UNI,0.887577619,8.328125,56.18630137
0.235395844,5.326027397,OLI,0.749196398,2.869791667,64.40547945
0.235409661,-0.657534247,OLI,0.857142844,2.765625,58.42191781
0.235420268,-19.66027397,ROS,0.535132599,0.5,46.3890411
0.235426259,-3.254794521,VIK,0.728378345,2.079861111,51.81369863
0.23543789,0.55890411,UNI,0.774664666,0.9375,45.13972603
0.235452344,6.049315068,TRI,0.63393993,3.453125,55.85753425
0.235551882,-10.52054795,OLI,0.743447003,1.020833333,48.55890411
0.235800212,11.57260274,TRI,0.89745211,2.486111111,61.38082192
0.235888492,-8.350684932,SON,0.517857126,3.171875,46.35616438
0.235925701,5.095890411,OLI,0.632105589,3.828125,64.17534247
0.235955049,12.2630137,VIK,0.750533036,0.609375,67.33150685
0.236028606,-19.62739726,PIC,0.58911456,11.20982143,57.92876712
0.236118183,6.871232877,SON,0.592001565,3.9375,61.57808219
0.23613236,2.334246575,SON,0.587851477,1.925595238,57.04109589
0.236134776,-3.057534247,ROS,0.536401086,2.28125,62.99178082
0.236207824,-10.29041096,SON,0.547619011,0.625,44.41643836
0.236309906,5.326027397,OLI,0.600808334,3.520833333,64.40547945
0.236523353,7.232876712,VIK,0.80169458,3.668402778,62.30136986
0.236553574,16.17534247,UNI,0.509090897,1.020833333,60.75616438
0.236583951,-15.02465753,PIC,0.556904505,7.65625,62.53150685
0.236637562,-11.96712329,OLI,0.631368612,0.625,47.11232877
0.236662009,10.45479452,UNI,0.775517771,16.74826389,55.03561644
0.23669533,10.84931507,UNI,0.844403977,1.65625,55.43013699
0.236904281,-2.663013699,QUA,0.760071511,3.319196429,53.81917808
0.237154627,16.60273973,UNI,0.558718765,13.22916667,61.18356164
0.237271467,-2.991780822,ROS,0.851543789,3.984375,63.05753425
0.237278764,-8.153424658,QUA,0.571428555,2.25,48.32876712
0.237284888,0.493150685,UNI,0.617414655,2.0625,45.0739726
0.237284888,0.493150685,UNI,0.617414655,2.0625,45.0739726
0.237308939,4.8,OLI,0.842919628,10.26190476,63.87945205
0.237332413,-0.657534247,OLI,0.729705033,4.65625,58.42191781
0.237359903,-3.090410959,ROS,0.577109701,4.015625,62.95890411
0.237381746,-3.879452055,VIK,0.731868121,2.625,51.1890411
